Period,Scenario,LoadLevel,Unit,tCO2
2030,sc01,03-11 06:00:00+01:00,CT NG 07,0.0
2030,sc01,03-11 06:00:00+01:00,CT NG 23,0.0
2030,sc01,03-11 06:00:00+01:00,CT NG 66,0.0
2030,sc01,03-11 06:00:00+01:00,CC NG 40,200.7890592915311
2030,sc01,03-11 06:00:00+01:00,CT NG 05,0.0
2030,sc01,03-11 10:00:00+01:00,ST NG 01,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 15,14.550015269556004
2030,sc01,03-11 10:00:00+01:00,CC NG 04,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 21,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 22,0.0
2030,sc01,03-11 10:00:00+01:00,ST NG 05,0.0
2030,sc01,03-11 10:00:00+01:00,CT Oil 05,37.253901304079996
2030,sc01,03-11 10:00:00+01:00,CC NG 10,32.83867873048814
2030,sc01,03-11 10:00:00+01:00,CT NG 34,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 44,28.102939503984906
2030,sc01,03-11 10:00:00+01:00,CT NG 13,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 48,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 30,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 36,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 41,21.281933759921998
2030,sc01,03-11 10:00:00+01:00,CC NG 05,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 15,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 25,0.0
2030,sc01,03-11 10:00:00+01:00,ST NG 04,13.917148671887999
2030,sc01,03-11 10:00:00+01:00,CT NG 11,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 02,11.815320914446803
2030,sc01,03-11 10:00:00+01:00,CT NG 70,0.0
2030,sc01,03-11 10:00:00+01:00,CT Oil 01,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 06,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 45,28.102939503984906
2030,sc01,03-11 10:00:00+01:00,CC NG 27,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 01,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 38,28.190552637000803
2030,sc01,03-11 10:00:00+01:00,CC NG 22,101.97086924550388
2030,sc01,03-11 10:00:00+01:00,ST NG 09,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 50,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 16,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 12,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 33,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 32,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 55,0.0
2030,sc01,03-11 10:00:00+01:00,CT Oil 04,37.253901304079996
2030,sc01,03-11 10:00:00+01:00,CC NG 37,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 31,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 72,11.405947868220778
2030,sc01,03-11 10:00:00+01:00,CC NG 24,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 06,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 69,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 74,15.612825192300003
2030,sc01,03-11 10:00:00+01:00,CC NG 25,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 46,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 73,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 09,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 03,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 01,0.0
2030,sc01,03-11 10:00:00+01:00,ST NG 08,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 36,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 21,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 53,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 23,0.0
2030,sc01,03-11 10:00:00+01:00,CT Oil 03,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 07,0.0
2030,sc01,03-11 10:00:00+01:00,CT Oil 02,0.0
2030,sc01,03-11 10:00:00+01:00,ST Coal 01,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 08,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 54,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 35,0.0
2030,sc01,03-11 10:00:00+01:00,ST NG 03,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 26,0.0
2030,sc01,03-11 10:00:00+01:00,ST NG 10,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 17,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 18,104.71487470143268
2030,sc01,03-11 10:00:00+01:00,CT NG 28,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 56,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 13,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 34,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 35,0.0
2030,sc01,03-11 10:00:00+01:00,ST NG 07,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 71,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 09,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 14,62.409633350790244
2030,sc01,03-11 10:00:00+01:00,CT NG 67,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 52,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 26,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 68,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 03,0.0
2030,sc01,03-11 10:00:00+01:00,ST Other 02,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 11,173.30094452051637
2030,sc01,03-11 10:00:00+01:00,CT NG 75,27.411100410304797
2030,sc01,03-11 10:00:00+01:00,CT NG 24,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 20,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 49,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 16,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 47,0.0
2030,sc01,03-11 10:00:00+01:00,ST NG 06,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 42,44.75851877536319
2030,sc01,03-11 10:00:00+01:00,CT NG 43,11.994003751649998
2030,sc01,03-11 10:00:00+01:00,CC NG 12,68.8826990571
2030,sc01,03-11 10:00:00+01:00,CT NG 10,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 29,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 14,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 39,82.956151416398
2030,sc01,03-11 10:00:00+01:00,CC NG 08,5.304867946292199
2030,sc01,03-11 10:00:00+01:00,CT NG 04,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 19,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 28,58.66274147977067
2030,sc01,03-11 10:00:00+01:00,ST NG 02,148.53616406849997
2030,sc01,03-11 10:00:00+01:00,CT NG 07,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 23,0.0
2030,sc01,03-11 10:00:00+01:00,CT NG 66,0.0
2030,sc01,03-11 10:00:00+01:00,CC NG 40,219.2404588215338
2030,sc01,03-11 10:00:00+01:00,CT NG 05,0.0
2030,sc01,03-12 15:00:00+01:00,ST NG 01,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 15,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 04,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 21,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 22,0.0
2030,sc01,03-12 15:00:00+01:00,ST NG 05,0.0
2030,sc01,03-12 15:00:00+01:00,CT Oil 05,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 10,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 34,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 44,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 13,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 48,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 30,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 36,14.164124754614173
2030,sc01,03-12 15:00:00+01:00,CT NG 41,21.281933759921998
2030,sc01,03-12 15:00:00+01:00,CC NG 05,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 15,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 25,0.0
2030,sc01,03-12 15:00:00+01:00,ST NG 04,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 11,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 02,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 70,0.0
2030,sc01,03-12 15:00:00+01:00,CT Oil 01,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 06,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 45,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 27,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 01,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 38,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 22,0.0
2030,sc01,03-12 15:00:00+01:00,ST NG 09,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 50,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 16,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 12,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 33,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 32,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 55,0.0
2030,sc01,03-12 15:00:00+01:00,CT Oil 04,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 37,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 31,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 72,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 24,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 06,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 69,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 74,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 25,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 46,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 73,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 09,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 03,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 01,0.0
2030,sc01,03-12 15:00:00+01:00,ST NG 08,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 36,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 21,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 53,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 23,0.0
2030,sc01,03-12 15:00:00+01:00,CT Oil 03,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 07,0.0
2030,sc01,03-12 15:00:00+01:00,CT Oil 02,0.0
2030,sc01,03-12 15:00:00+01:00,ST Coal 01,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 08,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 54,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 35,0.0
2030,sc01,03-12 15:00:00+01:00,ST NG 03,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 26,0.0
2030,sc01,03-12 15:00:00+01:00,ST NG 10,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 17,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 18,103.5759876809135
2030,sc01,03-12 15:00:00+01:00,CT NG 28,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 56,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 13,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 34,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 35,0.0
2030,sc01,03-12 15:00:00+01:00,ST NG 07,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 71,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 09,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 14,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 67,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 52,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 26,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 68,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 03,0.0
2030,sc01,03-12 15:00:00+01:00,ST Other 02,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 11,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 75,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 24,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 20,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 49,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 16,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 47,0.0
2030,sc01,03-12 15:00:00+01:00,ST NG 06,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 42,27.551080220602326
2030,sc01,03-12 15:00:00+01:00,CT NG 43,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 12,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 10,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 29,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 14,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 39,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 08,4.976792303281329
2030,sc01,03-12 15:00:00+01:00,CT NG 04,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 19,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 28,65.73676064729399
2030,sc01,03-12 15:00:00+01:00,ST NG 02,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 07,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 23,0.0
2030,sc01,03-12 15:00:00+01:00,CT NG 66,0.0
2030,sc01,03-12 15:00:00+01:00,CC NG 40,219.2404588215338
2030,sc01,03-12 15:00:00+01:00,CT NG 05,0.0
2030,sc01,03-15 06:00:00+01:00,ST NG 01,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 15,14.550015269556004
2030,sc01,03-15 06:00:00+01:00,CC NG 04,78.78473063633085
2030,sc01,03-15 06:00:00+01:00,CC NG 21,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 22,0.0
2030,sc01,03-15 06:00:00+01:00,ST NG 05,0.0
2030,sc01,03-15 06:00:00+01:00,CT Oil 05,37.253901304079996
2030,sc01,03-15 06:00:00+01:00,CC NG 10,32.83867873048814
2030,sc01,03-15 06:00:00+01:00,CT NG 34,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 44,28.102939503984906
2030,sc01,03-15 06:00:00+01:00,CT NG 13,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 48,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 30,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 36,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 41,21.281933759921998
2030,sc01,03-15 06:00:00+01:00,CC NG 05,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 15,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 25,0.0
2030,sc01,03-15 06:00:00+01:00,ST NG 04,13.917148671887999
2030,sc01,03-15 06:00:00+01:00,CT NG 11,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 02,11.815320914446803
2030,sc01,03-15 06:00:00+01:00,CT NG 70,0.0
2030,sc01,03-15 06:00:00+01:00,CT Oil 01,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 06,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 45,28.102939503984906
2030,sc01,03-15 06:00:00+01:00,CC NG 27,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 01,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 38,28.190552637000803
2030,sc01,03-15 06:00:00+01:00,CC NG 22,168.15299533282877
2030,sc01,03-15 06:00:00+01:00,ST NG 09,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 50,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 16,262.6472798731035
2030,sc01,03-15 06:00:00+01:00,CT NG 12,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 33,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 32,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 55,0.0
2030,sc01,03-15 06:00:00+01:00,CT Oil 04,37.253901304079996
2030,sc01,03-15 06:00:00+01:00,CC NG 37,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 31,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 72,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 24,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 06,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 69,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 74,15.612825192300003
2030,sc01,03-15 06:00:00+01:00,CC NG 25,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 46,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 73,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 09,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 03,33.83651988777536
2030,sc01,03-15 06:00:00+01:00,CT NG 01,0.0
2030,sc01,03-15 06:00:00+01:00,ST NG 08,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 36,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 21,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 53,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 23,0.0
2030,sc01,03-15 06:00:00+01:00,CT Oil 03,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 07,0.0
2030,sc01,03-15 06:00:00+01:00,CT Oil 02,0.0
2030,sc01,03-15 06:00:00+01:00,ST Coal 01,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 08,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 54,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 35,0.0
2030,sc01,03-15 06:00:00+01:00,ST NG 03,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 26,0.0
2030,sc01,03-15 06:00:00+01:00,ST NG 10,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 17,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 18,62.30800073401688
2030,sc01,03-15 06:00:00+01:00,CT NG 28,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 56,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 13,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 34,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 35,0.0
2030,sc01,03-15 06:00:00+01:00,ST NG 07,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 71,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 09,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 14,62.409633350790244
2030,sc01,03-15 06:00:00+01:00,CT NG 67,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 52,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 26,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 68,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 03,0.0
2030,sc01,03-15 06:00:00+01:00,ST Other 02,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 11,173.30094452051637
2030,sc01,03-15 06:00:00+01:00,CT NG 75,27.411100410304797
2030,sc01,03-15 06:00:00+01:00,CT NG 24,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 20,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 49,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 16,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 47,0.0
2030,sc01,03-15 06:00:00+01:00,ST NG 06,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 42,44.75851877536319
2030,sc01,03-15 06:00:00+01:00,CT NG 43,11.994003751649998
2030,sc01,03-15 06:00:00+01:00,CC NG 12,68.8826990571
2030,sc01,03-15 06:00:00+01:00,CT NG 10,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 29,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 14,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 39,82.956151416398
2030,sc01,03-15 06:00:00+01:00,CC NG 08,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 04,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 19,36.11276703174
2030,sc01,03-15 06:00:00+01:00,CC NG 28,0.0
2030,sc01,03-15 06:00:00+01:00,ST NG 02,148.53616406849997
2030,sc01,03-15 06:00:00+01:00,CT NG 07,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 23,0.0
2030,sc01,03-15 06:00:00+01:00,CT NG 66,0.0
2030,sc01,03-15 06:00:00+01:00,CC NG 40,170.55742287892863
2030,sc01,03-15 06:00:00+01:00,CT NG 05,0.0
2030,sc01,03-17 23:00:00+01:00,ST NG 01,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 15,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 04,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 21,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 22,0.0
2030,sc01,03-17 23:00:00+01:00,ST NG 05,0.0
2030,sc01,03-17 23:00:00+01:00,CT Oil 05,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 10,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 34,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 44,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 13,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 48,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 30,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 36,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 41,21.281933759921998
2030,sc01,03-17 23:00:00+01:00,CC NG 05,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 15,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 25,0.0
2030,sc01,03-17 23:00:00+01:00,ST NG 04,13.917148671887999
2030,sc01,03-17 23:00:00+01:00,CT NG 11,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 02,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 70,0.0
2030,sc01,03-17 23:00:00+01:00,CT Oil 01,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 06,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 45,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 27,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 01,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 38,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 22,0.0
2030,sc01,03-17 23:00:00+01:00,ST NG 09,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 50,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 16,262.6472798731035
2030,sc01,03-17 23:00:00+01:00,CT NG 12,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 33,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 32,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 55,0.0
2030,sc01,03-17 23:00:00+01:00,CT Oil 04,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 37,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 31,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 72,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 24,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 06,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 69,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 74,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 25,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 46,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 73,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 09,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 03,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 01,0.0
2030,sc01,03-17 23:00:00+01:00,ST NG 08,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 36,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 21,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 53,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 23,36.25404116398257
2030,sc01,03-17 23:00:00+01:00,CT Oil 03,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 07,0.0
2030,sc01,03-17 23:00:00+01:00,CT Oil 02,0.0
2030,sc01,03-17 23:00:00+01:00,ST Coal 01,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 08,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 54,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 35,0.0
2030,sc01,03-17 23:00:00+01:00,ST NG 03,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 26,0.0
2030,sc01,03-17 23:00:00+01:00,ST NG 10,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 17,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 18,74.00419077243865
2030,sc01,03-17 23:00:00+01:00,CT NG 28,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 56,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 13,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 34,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 35,0.0
2030,sc01,03-17 23:00:00+01:00,ST NG 07,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 71,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 09,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 14,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 67,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 52,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 26,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 68,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 03,0.0
2030,sc01,03-17 23:00:00+01:00,ST Other 02,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 11,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 75,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 24,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 20,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 49,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 16,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 47,0.0
2030,sc01,03-17 23:00:00+01:00,ST NG 06,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 42,4.655359537238059
2030,sc01,03-17 23:00:00+01:00,CT NG 43,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 12,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 10,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 29,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 14,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 39,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 08,0.0
2030,sc01,03-17 23:00:00+01:00,CT NG 04,0.0
2030,sc01,03-17 23:00:00+01:00,CC NG 19,36.11276703174
2030,sc01,03-17 23:00:00+01:00,CC NG 28,0.0
